date,nav,shares_outstanding,ex_dividends,shares_change,primary_flow_usd,estimated_aum_usd,primary_flow_pct,primary_flow_z,flow_5d,flow_20d,isin,ticker,currency,source,estimated_net_assets_usd,primary_flow_5d,primary_flow_20d,primary_flow_pct_5d,primary_flow_pct_20d
2004-05-19,53.94627,90200000.0,,2000000.0,107892540.0,,2.2172949002217295,2.540060952259753,,,,,,,4865953554.0,107764412.31999998,-4937976.709999941,2.2671803769041246,-2.7756968221128018
2004-05-20,53.935181,90200000.0,,0.0,0.0,,0.0,0.0,,,,,,,4864953326.2,103398606.72,-4937976.709999941,2.1679247937775736,-2.7756968221128018
2004-05-21,54.441532,86200000.0,,-4000000.0,-217766128.0,,-4.640371229698375,-5.976345189961631,,,,,,,4692860058.400001,-5233726.880000007,-22890205.629999943,-0.14583074546464161,-3.1361950409853008
2004-05-24,54.991521,86600000.0,,400000.0,21996608.4,,0.4618937644341801,0.5948740824188137,,,,,,,4762265718.599999,-43549850.00000001,-20615523.089999944,-0.9364542000833243,-3.0915949764195054
2004-05-25,56.39111,97600000.0,,11000000.0,620302210.0,,11.270491803278688,12.911109000164585,,,,,,,5503772336.0,106485046.08,10399587.410000056,1.861861847647243,-2.528070386255571
2004-05-26,56.631356,95400000.0,,-2200000.0,-124588983.19999999,,-2.3060796645702304,-2.3983262773309417,,,,,,,5402631362.4,59988741.44,4170138.250000058,0.9571869346888512,-2.643374369484083
2004-05-27,56.716839,95400000.0,,0.0,0.0,,0.0,0.0,,,,,,,5410786440.6,59988741.44,6432004.0500000585,0.9571869346888512,-2.5999904215448204
2004-05-28,56.689086,96400000.0,,1000000.0,56689086.0,,1.0373443983402488,0.9163984571899543,,,,,,,5464827890.400001,114879784.24000001,-248017641.64999995,2.0927300602965757,-5.048123201627808
2004-06-01,57.108421,96400000.0,,0.0,0.0,,0.0,0.0,,,,,,,5505251784.4,110480462.55999999,21435035.69000001,2.0003513074097397,0.33475968125507477
2004-06-02,57.217879,94800000.0,,-1600000.0,-91548606.4,,-1.6877637130801686,-1.4909841565082125,,,,,,,5424254929.200001,-31889700.72,19696896.120000012,-0.5912997958620314,0.30731910380152194
2004-06-03,56.112231,94800000.0,,0.0,0.0,,0.0,0.0,,,,,,,5319439498.8,-6971904.080000001,19696896.120000012,-0.13008386294798538,0.30731910380152194
2004-06-04,56.641732,94800000.0,,0.0,0.0,,0.0,0.0,,,,,,,5369636193.599999,-6971904.080000001,12959454.72000001,-0.13008386294798538,0.17428140978821816
2004-06-07,57.753643,94800000.0,,0.0,0.0,,0.0,0.0,,,,,,,5475045356.4,-18309721.28,26634189.47000001,-0.33755274261603513,0.46770863983516653
2004-06-08,57.655559,94800000.0,,0.0,0.0,,0.0,0.0,,,,,,,5465746993.2,-18309721.28,32534288.400000013,-0.33755274261603513,0.6002387603170942
