date,nav
2020-05-07,221.868343
2020-05-08,224.818298
2020-05-11,226.733415
2020-05-12,222.192593
2020-05-13,219.454433
2020-05-14,221.765581
2020-05-15,223.205803
2020-05-18,227.571407
2020-05-19,226.769808
2020-05-20,231.392051
2020-05-21,228.785369
2020-05-22,229.657062
2020-05-25,229.657062
2020-05-26,229.070988
2020-05-27,230.341018
2020-05-28,229.744819
2020-05-29,233.12461
2020-06-01,234.179464
2020-06-02,235.601017
2020-06-03,236.771561
2020-06-04,234.981891
2020-06-05,239.720727
2020-06-08,241.597981
2020-06-09,243.195693
2020-06-10,246.289537
2020-06-11,234.001811
2020-06-12,235.840459
2020-06-15,238.594171
2020-06-16,242.79765
2020-06-17,243.602795
2020-06-18,244.321773
2020-06-19,244.265981
2020-06-22,246.804384
2020-06-23,248.739159
2020-06-24,243.703658
2020-06-25,246.118145
2020-06-26,239.964691
2020-06-29,242.69657
2020-06-30,247.487158
2020-07-01,250.467051
2020-07-02,252.024116
2020-07-03,252.024116
2020-07-06,258.40859
2020-07-07,256.457429
2020-07-08,259.93167
2020-07-09,262.077015
2020-07-10,264.063724
2020-07-13,258.359539
2020-07-14,260.484859
2020-07-15,260.779625
2020-07-16,258.946009
2020-07-17,259.398682
2020-07-20,266.875319
2020-07-21,263.974087
2020-07-22,264.890458
2020-07-23,257.821254
2020-07-24,255.443126
2020-07-27,260.10345
2020-07-28,256.646289
2020-07-29,259.823136
2020-07-30,261.128398
2020-07-31,265.766554
2020-08-03,269.39918
2020-08-04,270.407663
2020-08-05,271.110115
2020-08-06,274.605365
2020-08-07,271.557415
2020-08-10,270.239944
2020-08-11,265.145511
2020-08-12,272.006516
2020-08-13,272.51696
2020-08-14,272.199345
2020-08-17,275.221245
2020-08-18,277.920243
2020-08-19,276.0384
2020-08-20,279.900337
2020-08-21,281.798508
2020-08-24,283.526955
2020-08-25,285.854833
2020-08-26,291.951852
2020-08-27,290.852373
2020-08-28,292.54998
2020-08-31,295.348462
2020-09-01,299.789768
2020-09-02,302.915774
2020-09-03,287.13536
2020-09-04,283.494005
2020-09-07,283.494005
2020-09-08,270.001065
2020-09-09,277.979044
2020-09-10,272.100036
2020-09-11,270.470263
2020-09-14,275.134737
2020-09-15,279.057606
2020-09-16,274.396994
2020-09-17,270.336285
2020-09-18,266.825044
2020-09-21,267.519711
2020-09-22,272.539803
2020-09-23,263.938895
2020-09-24,265.476689
2020-09-25,271.675545
2020-09-28,276.870124
2020-09-29,275.873234
2020-09-30,278.188377
2020-10-01,282.24594
2020-10-02,274.263766
2020-10-05,280.433902
2020-10-06,275.152574
2020-10-07,280.31309
2020-10-08,281.478353
2020-10-09,285.734224
2020-10-12,294.556599
2020-10-13,294.434847
2020-10-14,292.050723
2020-10-15,289.935166
2020-10-16,288.800079
2020-10-19,283.492882
2020-10-20,284.550589
2020-10-21,284.245281
2020-10-22,284.184017
2020-10-23,284.901745
2020-10-26,280.322972
2020-10-27,282.621497
2020-10-28,271.507949
2020-10-29,276.602468
2020-10-30,269.349425
2020-11-02,270.124999
2020-11-03,274.877054
2020-11-04,286.984107
2020-11-05,294.359503
2020-11-06,294.556779
2020-11-09,288.390787
2020-11-10,283.381597
2020-11-11,289.923712
2020-11-12,288.319588
2020-11-13,291.04619
2020-11-16,292.884624
2020-11-17,292.008671
2020-11-18,290.089727
2020-11-19,292.300146
2020-11-20,290.37136
2020-11-23,290.357603
2020-11-24,294.592444
2020-11-25,296.364714
2020-11-26,296.364714
2020-11-27,298.946526
2020-11-30,299.193688
2020-12-01,303.746731
2020-12-02,303.788952
2020-12-03,304.091783
2020-12-04,305.580649
2020-12-07,307.235414
2020-12-08,308.194036
2020-12-09,301.591762
2020-12-10,302.503139
2020-12-11,301.856939
2020-12-14,303.992401
