date,nav,shares_outstanding,shares_change,total_net_assets,estimated_flow_eur,flow_pct_assets,flow_zscore,flow_5d,flow_20d
2014-10-21,6.347909,586019707.0,0.0,3719999808.96,0.0,0.0,0.10373615264585379,0.0,0.0
2014-10-22,6.375117,586019707.0,0.0,3735944769.43,0.0,0.0,0.10373615264585379,0.0,0.0
2014-10-23,6.400922,586019707.0,0.0,3751066880.61,0.0,0.0,0.10373615264585379,0.0,0.0
2014-10-24,6.370499,586019707.0,0.0,3733238374.9,0.0,0.0,0.10373615264585379,0.0,0.0
2014-10-27,6.345151,586019707.0,0.0,3718383701.21,0.0,0.0,0.10373615264585379,0.0,0.0
2014-10-28,6.383683,586019707.0,0.0,3740964409.3,0.0,0.0,0.09858735154863552,0.0,0.0
2014-10-29,6.435077,586019707.0,0.0,3771082379.09,0.0,0.0,0.09858735154863552,0.0,0.0
2014-10-30,6.445246,586019707.0,0.0,3777041661.26,0.0,0.0,0.09858735154863552,0.0,0.0
2014-10-31,6.527748,586019707.0,0.0,3825389280.2,0.0,0.0,0.09858735154863552,0.0,0.0
2014-11-03,6.469349,586019707.0,0.0,3791166390.81,0.0,0.0,0.09858735154863552,0.0,0.0
2014-11-04,6.435447,586019707.0,0.0,3771298813.71,0.0,0.0,0.09858735154863552,0.0,0.0
2014-11-05,6.520218,586019707.0,0.0,3820976318.83,0.0,0.0,0.09858735154863552,0.0,0.0
2014-11-06,6.542288,586019707.0,0.0,3833909848.79,0.0,0.0,0.10821397932077198,0.0,0.0
2014-11-07,6.558355,586019707.0,0.0,3843325433.02,0.0,0.0,0.10304104239217346,0.0,0.0
2014-11-10,6.602038,586019707.0,0.0,3868924917.57,0.0,0.0,0.10304104239217346,0.0,0.0
2014-11-11,6.618053,586019707.0,0.0,3878309728.11,0.0,0.0,0.10304104239217346,0.0,0.0
2014-11-12,6.601639,586019707.0,0.0,3868691059.64,0.0,0.0,0.09930030808746987,0.0,0.0
2014-11-13,6.634264,586019707.0,0.0,3887809973.68,0.0,0.0,0.09194937512281455,0.0,0.0
2014-11-14,6.653065,586019707.0,0.0,3898827565.79,0.0,0.0,0.09194937512281455,0.0,0.0
2014-11-17,6.67051,586019707.0,0.0,3909050512.23,0.0,0.0,0.09194937512281455,0.0,0.0
2014-11-18,6.707546,586019707.0,0.0,3930754695.08,0.0,0.0,0.09194937512281455,0.0,0.0
2014-11-19,6.694928,586019707.0,0.0,3923360315.83,0.0,0.0,0.09194937512281455,0.0,0.0
2014-11-20,6.683494,586019707.0,0.0,3916659741.13,0.0,0.0,0.09194937512281455,0.0,0.0
2014-11-21,6.755399,586019707.0,0.0,3958796948.05,0.0,0.0,0.09587527812895592,0.0,0.0
2014-11-24,6.734155,586019707.0,0.0,3946347936.53,0.0,0.0,0.09587527812895592,0.0,0.0
2014-11-25,6.735138,586019707.0,0.0,3946923617.84,0.0,0.0,0.09587527812895592,0.0,0.0
2014-11-26,6.733378,586019707.0,0.0,3945892422.22,0.0,0.0,0.09587527812895592,0.0,0.0
2014-11-27,6.660021,587819707.0,1800000.0,3914891801.16,11988037.8,0.0030621632496836545,0.9400013197319271,2397607.560000018,599401.8899999971
2014-11-28,6.65929,587819707.0,0.0,3914462128.64,0.0,0.0,0.09232671272409514,2397607.560000018,599401.8899999971
2014-12-01,6.593393,587819707.0,0.0,3875726580.18,0.0,0.0,0.09232671272409514,2397607.560000018,599401.8899999971
2014-12-02,6.678188,587819707.0,0.0,3925570971.98,0.0,0.0,0.09232671272409514,2397607.560000018,599401.8899999971
